config_id,mean,std,min,max,count
C1,1.137,0.592,0.466,2.416,288
C4,1.158,0.59,0.477,2.729,288
C7,1.158,0.592,0.479,2.405,288
C2,2.246,1.097,0.923,4.53,288
C8,2.247,1.11,0.94,4.661,288
C5,2.248,1.122,0.931,4.714,288
C3,6.474,1.863,4.135,18.302,288
C9,6.544,1.941,4.014,19.605,288
C6,6.624,2.188,4.054,25.585,288
