config_id,macro_stoi_improvement,rank
C7,0.01336239490773676,1
C9,0.012254418414297183,2
C8,0.011552524985904247,3
C4,0.0009203385817364412,4
C5,-0.006471668652095215,5
C6,-0.0065835814598908865,6
C1,-0.021023221337687387,7
C2,-0.031075007402353475,8
C3,-0.03361323030334903,9
