config_id,rt60_target,distance_m,cell_stoi_improvement
C1,0.2,1.0,-0.02565749039465094
C1,0.2,2.5,-0.04049437381595275
C1,0.4,1.0,-0.03644054282378654
C1,0.4,2.5,-0.04840333963593513
C1,0.6,1.0,0.012556736434775515
C1,0.6,2.5,0.012299682209425511
C2,0.2,1.0,-0.02837394939406135
C2,0.2,2.5,-0.04960362945136798
C2,0.4,1.0,-0.03162023094477468
C2,0.4,2.5,-0.0524012321210788
C2,0.6,1.0,-0.0067639642759908455
C2,0.6,2.5,-0.017687038226847196
C3,0.2,1.0,-0.029561282224488256
C3,0.2,2.5,-0.0522955837243556
C3,0.4,1.0,-0.032383275521312205
C3,0.4,2.5,-0.06369777354998812
C3,0.6,1.0,-0.0010628798150775752
C3,0.6,2.5,-0.02267858698487238
C4,0.2,1.0,-0.0126284583060773
C4,0.2,2.5,-0.020454769784090426
C4,0.4,1.0,-0.00796299600701026
C4,0.4,2.5,-0.014758236179791412
C4,0.6,1.0,0.030196616916658037
C4,0.6,2.5,0.031129874850730006
C5,0.2,1.0,-0.014615284162145989
C5,0.2,2.5,-0.026112129617108692
C5,0.4,1.0,-0.007171105453079227
C5,0.4,2.5,-0.021628352647734966
C5,0.6,1.0,0.01966541283259582
C5,0.6,2.5,0.011031447134901761
C6,0.2,1.0,-0.01536008495818862
C6,0.2,2.5,-0.028637053063329088
C6,0.4,1.0,-0.007517127733545441
C6,0.4,2.5,-0.028454491173888947
C6,0.6,1.0,0.027213181557408216
C6,0.6,2.5,0.013254086612198566
C7,0.2,1.0,-0.0045077231436624204
C7,0.2,2.5,-0.011278557172824789
C7,0.4,1.0,0.008005651841194067
C7,0.4,2.5,-0.0010432872830501024
C7,0.6,1.0,0.03983287124156069
C7,0.6,2.5,0.049165413963203126
C8,0.2,1.0,-0.005679260288977638
C8,0.2,2.5,-0.013767629344816562
C8,0.4,1.0,0.013179612152591051
C8,0.4,2.5,-0.00017306746772784848
C8,0.6,1.0,0.044708285892217106
C8,0.6,2.5,0.031047208972139376
C9,0.2,1.0,-0.006123158505288496
C9,0.2,2.5,-0.014764232174687628
C9,0.4,1.0,0.012771172372240689
C9,0.4,2.5,-0.005752792400925855
C9,0.6,1.0,0.05309179323705079
C9,0.6,2.5,0.034303727957393594
