config_id,macro_stoi_improvement,rank
C7,0.02808392159677479,1
C8,0.02440232729883222,2
C9,0.02404705572013571,3
C4,0.011818365929072058,4
C5,4.1444637183069476e-05,5
C6,-0.002231578767365485,6
C1,-0.012712545582613533,7
C2,-0.028556943077227687,8
C3,-0.031801974209758374,9
