room_id,geometry,rt60_target,rt60_achieved,distance_m,replicate,seed,snr_condition,utterance,config_id,delay,taps,stoi,si_sdr_db,runtime_s,numerical_failure,signal_failure,warnings
H_G-C_rt0.2_d1.0_rep0,G-C,0.2,0.19680421314914745,1.0,0,401,clean,8224-274384-0003,C9,4,30,0.9885436334245377,13.871706896842182,4.964,False,False,
H_G-C_rt0.2_d1.0_rep0,G-C,0.2,0.19680421314914745,1.0,0,401,clean,61-70968-0027,baseline,,,0.9972993916044971,20.762408736013715,,False,False,
H_G-C_rt0.2_d1.0_rep0,G-C,0.2,0.19680421314914745,1.0,0,401,clean,61-70968-0027,C1,2,10,0.9558773813820466,7.20359567745776,0.984,False,False,
H_G-C_rt0.2_d1.0_rep0,G-C,0.2,0.19680421314914745,1.0,0,401,clean,61-70968-0027,C2,2,20,0.9491908161461077,6.4544339581574315,1.635,False,False,
H_G-C_rt0.2_d1.0_rep0,G-C,0.2,0.19680421314914745,1.0,0,401,clean,61-70968-0027,C3,2,30,0.9477281896236087,6.300948069718958,5.409,False,False,
H_G-C_rt0.2_d1.0_rep0,G-C,0.2,0.19680421314914745,1.0,0,401,clean,61-70968-0027,C4,3,10,0.9736020352186597,10.584962146508545,0.839,False,False,
H_G-C_rt0.2_d1.0_rep0,G-C,0.2,0.19680421314914745,1.0,0,401,clean,61-70968-0027,C5,3,20,0.9691360641711483,9.81091522426435,1.645,False,False,
H_G-C_rt0.2_d1.0_rep0,G-C,0.2,0.19680421314914745,1.0,0,401,clean,61-70968-0027,C6,3,30,0.9680038480375979,9.422193433386772,7.067,False,False,
H_G-C_rt0.2_d1.0_rep0,G-C,0.2,0.19680421314914745,1.0,0,401,clean,61-70968-0027,C7,4,10,0.9902106941865652,14.197552097185508,0.784,False,False,
H_G-C_rt0.2_d1.0_rep0,G-C,0.2,0.19680421314914745,1.0,0,401,clean,61-70968-0027,C8,4,20,0.9857686054863387,13.080060104491281,1.634,False,False,
