config_id,rt60_target,distance_m,cell_stoi_improvement
C1,0.2,1.0,-0.038837589564441506
C1,0.2,2.5,-0.05283861654478536
C1,0.4,1.0,-0.04520735306242215
C1,0.4,2.5,-0.028486301956309443
C1,0.6,1.0,0.018359887895471202
C1,0.6,2.5,0.04051672273085239
C2,0.2,1.0,-0.04227537828933625
C2,0.2,2.5,-0.058670175669416035
C2,0.4,1.0,-0.0471628243235462
C2,0.4,2.5,-0.046827412559105365
C2,0.6,1.0,-0.015770516305179838
C2,0.6,2.5,-0.006296292291187283
C3,0.2,1.0,-0.0437289710729974
C3,0.2,2.5,-0.06077583329807538
C3,0.4,1.0,-0.04548320921785352
C3,0.4,2.5,-0.05080588582815037
C3,0.6,1.0,-0.01803784721621128
C3,0.6,2.5,-0.01754327437535623
C4,0.2,1.0,-0.020581758548083404
C4,0.2,2.5,-0.0282879894168956
C4,0.4,1.0,-0.01566015118154114
C4,0.4,2.5,0.005279036555342055
C4,0.6,1.0,0.03948403414070827
C4,0.6,2.5,0.06540962214181789
C5,0.2,1.0,-0.022974834137456736
C5,0.2,2.5,-0.03467515038690167
C5,0.4,1.0,-0.018510773593998397
C5,0.4,2.5,-0.011866586574818283
C5,0.6,1.0,0.01852523192802943
C5,0.6,2.5,0.03670017489191007
C6,0.2,1.0,-0.023978090924074606
C6,0.2,2.5,-0.037104856948477136
C6,0.4,1.0,-0.0160395356524476
C6,0.4,2.5,-0.014785777274577097
C6,0.6,1.0,0.01885711530851839
C6,0.6,2.5,0.02851902286345437
C7,0.2,1.0,-0.009185889279020762
C7,0.2,2.5,-0.01392305275788733
C7,0.4,1.0,0.007164667929030838
C7,0.4,2.5,0.027803359253004558
C7,0.6,1.0,0.05002139750994243
C7,0.6,2.5,0.0770975456670255
C8,0.2,1.0,-0.01062345215870939
C8,0.2,2.5,-0.01751525209413751
C8,0.4,1.0,0.009469345054397857
C8,0.4,2.5,0.01974527257937998
C8,0.6,1.0,0.04714121358627016
C8,0.6,2.5,0.06170590253409828
C9,0.2,1.0,-0.011550251324232675
C9,0.2,2.5,-0.01856687800323103
C9,0.4,1.0,0.010286952243760616
C9,0.4,2.5,0.017164853981316452
C9,0.6,1.0,0.04779216824075786
C9,0.6,2.5,0.06827779671354012
