room_id,rt60_target,rt60_achieved,distance_m,replicate,seed,snr_condition,utterance,config_id,delay,taps,stoi,si_sdr_db,runtime_s,numerical_failure,signal_failure,warnings
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,61-70968-0027,C2,2,20,0.9378788477058938,5.653561605222908,1.442,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,61-70968-0027,C3,2,30,0.9354836342851927,5.428758207783769,5.391,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,61-70968-0027,C4,3,10,0.9707302058936715,10.567307257812002,0.772,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,61-70968-0027,C5,3,20,0.9631408968600901,9.660677262065256,1.453,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,61-70968-0027,C6,3,30,0.961532338952531,9.36028067026926,4.836,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,61-70968-0027,C7,4,10,0.9847664322725458,14.088642330123665,0.712,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,61-70968-0027,C8,4,20,0.981915399398242,13.27638561592359,1.539,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,61-70968-0027,C9,4,30,0.9809504541043702,12.995408087582343,5.641,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,3570-5694-0006,baseline,,,0.997349876974068,22.305642962820535,,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,3570-5694-0006,C1,2,10,0.9549560455824837,9.835073318651729,1.611,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,3570-5694-0006,C2,2,20,0.9470445115515418,6.918690416494603,2.666,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,3570-5694-0006,C3,2,30,0.9456141130340594,6.36738011453205,7.286,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,3570-5694-0006,C4,3,10,0.9764995421409491,13.723449186877744,1.574,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,3570-5694-0006,C5,3,20,0.9739948759968436,13.146053788872061,3.078,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,3570-5694-0006,C6,3,30,0.9730615284306479,12.891248806341624,7.187,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,3570-5694-0006,C7,4,10,0.9878018114348404,15.71716586555622,1.414,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,3570-5694-0006,C8,4,20,0.9865962219688178,15.384307837674573,2.73,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,3570-5694-0006,C9,4,30,0.9861827277590587,15.2822434709144,6.535,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,6829-68769-0012,baseline,,,0.9966610553000212,20.3456331450558,,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,6829-68769-0012,C1,2,10,0.9563429671472218,8.677629985632613,0.492,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,6829-68769-0012,C2,2,20,0.9541989097588183,8.089045584316796,0.977,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,6829-68769-0012,C3,2,30,0.9516427878820846,7.437095974209511,3.838,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,6829-68769-0012,C4,3,10,0.9798939602618406,13.596615038829905,0.496,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,6829-68769-0012,C5,3,20,0.976395057728991,13.460720912276363,0.974,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,6829-68769-0012,C6,3,30,0.9754727896800646,13.11764285679255,4.611,False,False,
