room_id,rt60_target,rt60_achieved,distance_m,replicate,seed,snr_condition,utterance,config_id,delay,taps,stoi,si_sdr_db,runtime_s,numerical_failure,signal_failure,warnings
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,clean,6848-252323-0022,C2,2,20,0.9429680854834793,6.498876092445207,2.929,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,clean,6848-252323-0022,C3,2,30,0.9406274727549414,6.025254915402227,7.27,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,clean,6848-252323-0022,C4,3,10,0.9662648262987784,10.556681251861676,1.564,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,clean,6848-252323-0022,C5,3,20,0.9626998732674567,10.040187880674665,2.902,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,clean,6848-252323-0022,C6,3,30,0.9618260755143865,9.862355148316396,8.164,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,clean,6848-252323-0022,C7,4,10,0.981716778758669,13.657704170995986,1.529,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,clean,6848-252323-0022,C8,4,20,0.9786101097906065,12.695078985345415,3.257,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,clean,6848-252323-0022,C9,4,30,0.9771857185076892,12.319007645565597,8.49,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,clean,2893-139310-0011,baseline,,,0.9931357911061909,19.56170747089762,,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,clean,2893-139310-0011,C1,2,10,0.952756327447994,8.434846567038633,1.598,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,clean,2893-139310-0011,C2,2,20,0.9502782546139722,7.7392017084701905,3.317,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,clean,2893-139310-0011,C3,2,30,0.9497703468276458,7.413202380871678,10.078,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,clean,2893-139310-0011,C4,3,10,0.9710351214445109,11.4938573485371,1.689,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,clean,2893-139310-0011,C5,3,20,0.9685749714382602,11.15863934631763,2.913,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,clean,2893-139310-0011,C6,3,30,0.9667368404208947,10.926474540354844,6.784,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,clean,2893-139310-0011,C7,4,10,0.9832121259060426,14.327563001964101,1.669,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,clean,2893-139310-0011,C8,4,20,0.9824001368058528,14.008408611604452,2.908,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,clean,2893-139310-0011,C9,4,30,0.9813976793720476,13.758684768925631,6.593,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,clean,26-495-0064,baseline,,,0.9947240199499833,19.68666748246285,,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,clean,26-495-0064,C1,2,10,0.9532166580413061,7.739093911765329,1.42,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,clean,26-495-0064,C2,2,20,0.9501896950520441,7.158557802477769,2.705,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,clean,26-495-0064,C3,2,30,0.9477234469219444,6.775296188218652,6.286,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,clean,26-495-0064,C4,3,10,0.9724575442595665,11.351564536215964,1.539,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,clean,26-495-0064,C5,3,20,0.9700460597576963,10.9040313116015,3.593,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,clean,26-495-0064,C6,3,30,0.9685986776973963,10.624367342377955,15.591,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,clean,26-495-0064,C7,4,10,0.9862014468949648,14.672933658321558,1.439,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,clean,26-495-0064,C8,4,20,0.9852829700789509,14.21293825656221,2.786,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,clean,26-495-0064,C9,4,30,0.9840760581946923,13.901360757674867,13.196,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,10dB,5808-48608-0028,baseline,,,0.8869963902828714,9.31326774959792,,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,10dB,5808-48608-0028,C1,2,10,0.8533705401060517,6.158750490170526,1.637,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,10dB,5808-48608-0028,C2,2,20,0.8514020240129544,6.0672086468097195,3.64,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,10dB,5808-48608-0028,C3,2,30,0.8514971121815204,6.077617423573166,8.901,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,10dB,5808-48608-0028,C4,3,10,0.8667185763414625,7.36746205998465,1.604,False,False,
D_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,201,10dB,5808-48608-0028,C5,3,20,0.8650410064696812,7.317079998768639,3.29,False,False,
